code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date
605186,健麾信息,44.68,True,32.85,28.86,22,25.21,8.73,14.0,13.82,0.8673,从未跌破（观测期内）,2026-06-17
603678,火炬电子,331.52,True,69.71,54.38,22,59.18,0.85,27.37,28.2,0.85,从未跌破（观测期内）,2026-06-17
603256,宏和科技,2277.61,True,258.9,198.18,22,34.23,9.56,21.44,30.64,0.85,从未跌破（观测期内）,2026-06-17
002138,顺络电子,503.22,True,66.52,52.39,22,33.76,9.08,20.02,26.97,0.85,从未跌破（观测期内）,2026-06-17
600353,旭光电子,316.52,True,38.19,26.26,22,45.42,5.88,18.53,45.42,0.85,从未跌破（观测期内）,2026-06-17
600183,生益科技,4313.69,True,180.15,140.28,22,40.61,14.39,27.12,28.42,0.85,从未跌破（观测期内）,2026-06-17
002859,洁美科技,367.99,True,90.66,76.71,22,50.51,4.79,22.45,18.18,0.85,从未跌破（观测期内）,2026-06-17
002552,宝鼎科技,265.91,True,72.16,56.59,22,60.52,5.75,36.85,27.51,0.85,从未跌破（观测期内）,2026-06-17
603203,快克智能,202.11,True,62.4,53.75,22,28.5,3.08,13.59,16.08,0.85,从未跌破（观测期内）,2026-06-17
603986,兆易创新,3913.84,True,586.04,495.7,22,40.45,1.1,17.37,18.23,0.85,从未跌破（观测期内）,2026-06-17
002645,华宏科技,232.77,True,34.22,28.46,21,25.96,-1.0,14.07,20.24,0.8341,从未跌破（观测期内）,2026-06-17
002741,光华科技,168.16,True,39.44,29.06,21,35.7,-1.3,13.8,35.7,0.8341,从未跌破（观测期内）,2026-06-17
002436,兴森科技,725.57,True,47.8,38.76,21,23.32,-0.24,10.88,23.32,0.8341,从未跌破（观测期内）,2026-06-17
601208,东材科技,739.45,True,73.2,57.25,21,27.87,-0.69,15.42,27.87,0.8341,从未跌破（观测期内）,2026-06-17
002993,奥海科技,173.11,True,72.6,65.26,21,26.72,-3.92,9.82,11.24,0.8295,从未跌破（观测期内）,2026-06-17
003043,华亚智能,67.9,True,80.99,69.22,20,26.21,-1.42,10.76,17.01,0.8182,从未跌破（观测期内）,2026-06-17
600378,昊华科技,684.3,True,63.8,46.87,20,50.38,-0.81,18.01,36.11,0.8182,从未跌破（观测期内）,2026-06-17
603990,麦迪科技,68.97,True,22.52,20.73,22,26.74,2.5,13.94,8.65,0.8163,从未跌破（观测期内）,2026-06-17
603324,盛剑科技,57.86,True,39.18,32.22,20,21.67,-3.97,9.63,21.58,0.8089,从未跌破（观测期内）,2026-06-17
603002,宏昌电子,263.11,True,23.2,17.55,21,32.17,-7.73,8.76,32.17,0.8032,从未跌破（观测期内）,2026-06-17
002119,康强电子,124.48,True,33.17,26.48,19,31.96,-8.18,10.58,25.28,0.8023,从未跌破（观测期内）,2026-06-17
002409,雅克科技,471.16,True,147.92,120.7,19,27.76,-6.02,11.77,22.56,0.8023,从未跌破（观测期内）,2026-06-17
600458,时代新材,148.34,True,17.08,14.05,20,26.62,-1.28,9.01,21.54,0.7934,从未跌破（观测期内）,2026-06-17
600237,铜峰电子,78.45,True,12.56,10.76,20,23.48,-6.8,8.61,16.71,0.7835,从未跌破（观测期内）,2026-06-17
600522,中天科技,1874.05,True,54.91,46.14,19,24.26,-4.86,9.2,19.02,0.7823,从未跌破（观测期内）,2026-06-17
603005,晶方科技,300.78,True,46.12,42.82,21,32.23,-0.62,13.8,7.69,0.7764,从未跌破（观测期内）,2026-06-17
000021,深科技,675.46,True,42.91,39.08,19,27.11,-6.54,9.05,9.8,0.7736,从未跌破（观测期内）,2026-06-17
002281,光迅科技,1888.81,True,242.0,215.23,17,43.11,-5.2,10.13,12.44,0.7705,从未跌破（观测期内）,2026-06-17
603267,鸿远电子,173.31,True,75.0,69.72,20,27.8,-8.24,11.18,7.58,0.7577,从未跌破（观测期内）,2026-06-17
603386,骏亚科技,59.26,True,18.16,17.04,22,12.64,0.89,6.79,6.59,0.755,从未跌破（观测期内）,2026-06-17
002579,中京电子,107.76,True,18.47,16.83,16,42.07,-6.92,12.41,9.75,0.7483,从未跌破（观测期内）,2026-06-17
002815,崇达技术,156.52,True,20.14,17.34,20,16.12,-2.96,6.48,16.12,0.7475,从未跌破（观测期内）,2026-06-17
603011,合锻智能,177.74,True,35.95,27.91,15,41.12,-9.95,17.37,28.82,0.7386,从未跌破（观测期内）,2026-06-17
000733,振华科技,322.1,True,58.13,52.19,19,20.49,-7.18,6.78,11.38,0.7217,从未跌破（观测期内）,2026-06-17
000100,TCL科技,979.56,True,5.12,4.55,20,12.42,-1.57,4.39,12.42,0.7083,从未跌破（观测期内）,2026-06-17
000920,沃顿科技,71.08,True,15.04,12.61,18,19.23,-6.78,6.42,19.23,0.6969,从未跌破（观测期内）,2026-06-17
600584,长电科技,1463.03,True,81.76,77.07,18,53.6,-7.72,18.04,6.08,0.6885,从未跌破（观测期内）,2026-06-17
002674,兴业科技,47.6,True,16.27,15.39,22,15.11,0.7,6.09,5.71,0.6865,从未跌破（观测期内）,2026-06-17
002185,华天科技,632.97,True,19.05,17.93,17,40.47,-8.33,11.68,6.26,0.6769,从未跌破（观测期内）,2026-06-17
002965,祥鑫科技,80.93,True,42.5,36.69,17,18.0,-7.19,5.86,15.83,0.667,从未跌破（观测期内）,2026-06-17
603859,能科科技,124.23,True,50.77,47.43,18,26.83,-5.32,7.87,7.05,0.6591,从未跌破（观测期内）,2026-06-17
000988,华工科技,1713.6,True,170.51,156.93,16,24.69,-3.44,7.44,8.66,0.6571,从未跌破（观测期内）,2026-06-17
600563,法拉电子,382.61,True,170.05,161.47,17,32.55,-9.81,11.51,5.31,0.6533,从未跌破（观测期内）,2026-06-17
002371,北方华创,5100.34,True,704.22,643.37,15,21.82,-5.98,6.86,9.46,0.6467,从未跌破（观测期内）,2026-06-17
601869,长飞光纤,1871.19,True,460.5,420.4,17,19.84,-5.46,5.43,9.54,0.6447,从未跌破（观测期内）,2026-06-17
000823,超声电子,131.4,True,22.11,17.58,16,25.74,-5.42,5.3,25.74,0.637,从未跌破（观测期内）,2026-06-17
002384,东山精密,3561.74,True,256.92,221.99,17,15.74,-9.9,4.65,15.74,0.6366,从未跌破（观测期内）,2026-06-17
603679,华体科技,34.61,True,19.48,17.71,16,14.61,-4.99,5.17,9.99,0.6335,从未跌破（观测期内）,2026-06-17
002955,鸿合科技,66.21,True,33.84,27.28,13,24.04,-7.15,6.56,24.04,0.6209,从未跌破（观测期内）,2026-06-17
003025,思进智能,37.59,True,16.6,15.36,17,13.85,-5.54,5.24,8.08,0.6034,从未跌破（观测期内）,2026-06-17
603328,依顿电子,150.96,True,15.12,13.13,17,15.18,-7.92,3.16,15.18,0.5995,从未跌破（观测期内）,2026-06-17
002937,兴瑞科技,126.34,True,40.71,35.2,15,16.15,-7.65,3.44,15.66,0.5745,从未跌破（观测期内）,2026-06-17
000700,模塑科技,146.52,True,15.96,15.53,19,21.15,-5.48,8.15,2.74,0.5744,从未跌破（观测期内）,2026-06-17
002957,科瑞技术,240.15,True,57.11,55.69,16,34.39,-7.74,10.28,2.55,0.5683,从未跌破（观测期内）,2026-06-17
001269,欧晶科技,50.7,True,26.35,26.31,22,18.96,0.17,8.52,0.17,0.5673,从未跌破（观测期内）,2026-06-17
600498,烽火通信,975.08,True,76.68,56.95,13,34.65,-12.25,4.19,34.65,0.5615,从未跌破（观测期内）,2026-06-17
002245,蔚蓝锂芯,332.08,True,20.67,20.6,19,33.46,-5.05,12.12,0.32,0.5603,从未跌破（观测期内）,2026-06-17
002080,中材科技,1382.94,True,82.41,67.92,12,21.34,-12.15,4.47,21.34,0.5527,从未跌破（观测期内）,2026-06-17
600228,返利科技,37.11,True,8.92,6.7,12,33.21,-6.45,3.75,33.21,0.5346,从未跌破（观测期内）,2026-06-16
001223,欧克科技,34.8,True,49.83,44.81,15,11.19,-11.13,1.62,11.19,0.5291,从未跌破（观测期内）,2026-06-17
603212,赛伍技术,69.39,True,15.86,15.5,19,9.71,-1.38,4.11,2.33,0.5205,从未跌破（观测期内）,2026-06-17
001301,尚太科技,172.37,True,92.8,90.67,20,13.16,-5.99,5.49,2.35,0.5151,从未跌破（观测期内）,2026-06-17
001339,智微智能,143.7,True,115.39,103.95,12,23.89,-7.61,2.87,11.0,0.5127,从未跌破（观测期内）,2026-06-17
001389,广合科技,313.25,True,205.8,185.72,13,10.81,-5.85,1.86,10.81,0.5099,从未跌破（观测期内）,2026-06-17
603125,常青科技,114.97,True,28.4,25.17,11,25.53,-7.94,3.33,12.83,0.5084,从未跌破（观测期内）,2026-06-17
002428,云南锗业,648.2,True,99.26,88.18,12,16.34,-11.63,2.2,12.56,0.4959,从未跌破（观测期内）,2026-06-17
600345,长江通信,128.06,True,60.53,54.21,13,18.07,-11.61,1.22,11.66,0.4872,从未跌破（观测期内）,2026-06-17
002925,盈趣科技,159.73,True,21.85,21.2,18,8.93,-6.02,2.75,3.09,0.4745,从未跌破（观测期内）,2026-06-17
603488,展鹏科技,38.48,True,13.18,11.82,12,11.5,-7.66,1.02,11.5,0.4683,从未跌破（观测期内）,2026-06-17
603890,春秋电子,112.11,True,24.89,25.2,15,38.08,-7.49,11.37,-1.23,0.4579,从未跌破（观测期内）,2026-06-17
002156,通富微电,1020.03,True,67.22,65.37,14,28.88,-11.6,6.24,2.84,0.4495,从未跌破（观测期内）,2026-06-17
600601,方正科技,598.44,True,14.35,12.78,11,12.28,-6.4,0.97,12.28,0.4492,从未跌破（观测期内）,2026-06-17
002446,盛路通信,99.19,True,11.7,10.41,12,13.75,-9.48,0.27,12.42,0.4476,从未跌破（观测期内）,2026-06-17
600996,贵广网络,120.32,True,9.65,9.13,14,10.75,-4.89,2.72,5.71,0.4436,从未跌破（观测期内）,2026-06-17
603738,泰晶科技,227.67,True,59.0,47.7,9,23.68,-12.16,1.97,23.68,0.4425,从未跌破（观测期内）,2026-06-17
001266,宏英智能,29.55,True,50.82,48.62,12,29.21,-7.86,5.12,4.52,0.432,从未跌破（观测期内）,2026-06-17
003026,中晶科技,52.79,True,36.52,32.27,10,13.19,-9.56,0.76,13.19,0.4282,从未跌破（观测期内）,2026-06-17
603083,剑桥科技,560.24,True,203.29,192.32,14,15.77,-10.64,2.44,5.7,0.4264,从未跌破（观测期内）,2026-06-17
000831,中国稀土,627.08,True,59.09,53.23,10,15.27,-8.66,0.22,11.01,0.4145,从未跌破（观测期内）,2026-06-17
000969,安泰科技,256.69,True,24.45,22.83,11,14.11,-6.94,2.46,7.11,0.4142,从未跌破（观测期内）,2026-06-17
605058,澳弘电子,59.31,True,41.5,38.78,13,9.02,-7.58,1.24,7.03,0.4135,从未跌破（观测期内）,2026-06-17
