code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date,rsi,volume_price_corr,volume_change_22d,volatility_20d,volume_price_score,rsi_score,volatility_score,composite_score
603155,新亚强,84.88,False,26.88,24.03,22,30.25,0.6,12.79,11.85,0.85,从未跌破（观测期内）,2026-07-03,61.15,0.7684,3.7467,1.0362,0.8611,0.8634,0.0,0.7279
603379,三美股份,458.65,False,75.13,67.67,20,27.09,-2.92,8.9,11.02,0.7906,从未跌破（观测期内）,2026-07-03,61.5,0.9213,2.51,0.8581,0.9528,0.8555,0.0,0.7255
603976,正川股份,44.16,False,29.0,26.34,20,20.48,-2.29,9.87,10.09,0.8149,从未跌破（观测期内）,2026-07-03,54.49,0.5502,1.4898,0.9124,0.7301,0.9886,0.0,0.7062
002901,大博医疗,130.85,False,45.37,42.09,18,7.8,-2.35,1.74,7.8,0.6071,从未跌破（观测期内）,2026-07-03,66.81,0.8383,1.7711,0.2801,0.903,0.7376,0.5332,0.6961
600909,华安证券,543.62,False,10.82,9.55,22,46.11,1.58,19.49,13.27,0.85,从未跌破（观测期内）,2026-07-03,70.83,0.7881,1.7578,0.8925,0.8729,0.6483,0.0,0.6879
002768,国恩股份,141.19,False,54.6,50.29,20,19.92,-3.02,8.66,8.56,0.7488,从未跌破（观测期内）,2026-07-03,67.84,0.825,1.4045,0.5189,0.895,0.7146,0.1352,0.6865
600999,招商证券,1619.48,False,21.82,19.4,20,21.06,-0.2,8.14,12.46,0.7716,从未跌破（观测期内）,2026-07-03,74.5,0.8757,2.2601,0.4868,0.9254,0.5668,0.1887,0.6817
605020,永和股份,224.86,False,44.71,37.64,20,30.41,-3.53,8.85,18.79,0.7894,从未跌破（观测期内）,2026-07-03,67.84,0.7829,1.7423,0.9027,0.8698,0.7146,0.0,0.6761
000970,中科三环,200.35,False,16.48,14.33,19,21.64,-6.09,10.66,15.03,0.8023,从未跌破（观测期内）,2026-07-03,65.08,0.6565,6.4776,0.8427,0.7939,0.776,0.0,0.6746
002119,康强电子,146.51,True,39.04,33.24,22,31.96,1.62,18.86,17.46,0.85,从未跌破（观测期内）,2026-07-03,70.14,0.6661,1.775,0.7793,0.7996,0.6636,0.0,0.6726
600998,九州通,249.1,False,4.94,4.78,18,3.88,-2.83,1.21,3.33,0.5033,从未跌破（观测期内）,2026-07-03,56.52,0.6333,1.1475,0.2785,0.78,0.9662,0.5359,0.6699
603087,甘李药业,342.25,False,60.99,56.42,18,8.1,-2.74,2.62,8.1,0.631,从未跌破（观测期内）,2026-07-03,63.16,0.8066,0.798,0.47,0.884,0.8188,0.2166,0.6697
600630,龙头股份,40.87,False,9.62,9.24,22,16.54,1.18,8.33,4.14,0.7029,从未跌破（观测期内）,2026-07-03,58.08,0.6669,2.8918,0.6828,0.8001,0.9316,0.0,0.6675
000021,深科技,880.11,True,55.91,46.94,19,46.22,-6.54,13.91,19.11,0.8023,从未跌破（观测期内）,2026-07-03,75.09,0.9041,0.4991,0.91,0.9421,0.5535,0.0,0.6671
002141,贤丰控股,53.09,False,5.14,4.33,15,47.92,-12.26,14.44,18.8,0.7386,从未跌破（观测期内）,2026-07-03,68.6,0.8699,9.5134,1.1816,0.922,0.6978,0.0,0.6655
600378,昊华科技,815.26,True,76.01,64.39,22,50.38,11.84,28.31,18.05,0.85,从未跌破（观测期内）,2026-07-03,67.83,0.5419,0.5282,1.0635,0.7251,0.715,0.0,0.6643
600460,士兰微,786.27,True,47.25,42.81,19,35.24,-4.22,15.85,10.37,0.8023,从未跌破（观测期内）,2026-07-03,74.98,0.8502,0.5706,0.8335,0.9101,0.5559,0.0,0.6596
000100,TCL科技,1080.96,True,5.65,5.07,22,23.26,1.62,9.19,11.45,0.8299,从未跌破（观测期内）,2026-07-03,69.64,0.5877,1.1164,0.7586,0.7526,0.6746,0.0,0.655
003043,华亚智能,90.76,True,100.07,85.01,22,30.27,0.79,17.55,17.72,0.85,从未跌破（观测期内）,2026-07-03,66.51,0.4414,1.1957,0.8724,0.6648,0.7442,0.0,0.655
001229,魅视科技,26.02,True,35.28,29.63,20,29.05,-1.83,9.06,19.07,0.7948,从未跌破（观测期内）,2026-07-03,72.22,0.7446,3.6599,0.719,0.8467,0.6173,0.0,0.6531
600906,财达证券,165.48,False,7.79,7.33,21,14.42,-3.26,6.37,6.23,0.6735,从未跌破（观测期内）,2026-07-03,60.47,0.6877,0.6264,0.7143,0.8126,0.8784,0.0,0.6482
601678,滨化股份,141.6,False,6.93,6.17,17,26.4,-8.67,6.04,12.28,0.6716,从未跌破（观测期内）,2026-07-03,62.33,0.7414,3.8138,0.8455,0.8448,0.8372,0.0,0.6473
603991,领先股份,135.8,False,151.67,126.24,16,27.17,-12.55,6.9,20.14,0.677,从未跌破（观测期内）,2026-07-03,68.95,0.9077,0.8377,0.8228,0.9446,0.6899,0.0,0.6449
002584,西陇科学,46.61,False,9.95,9.03,17,33.97,-9.77,8.25,10.15,0.7267,从未跌破（观测期内）,2026-07-03,63.32,0.6074,6.4872,0.9458,0.7644,0.815,0.0,0.6448
603261,*ST立航,39.75,False,51.29,43.08,14,45.53,-8.46,12.33,19.05,0.7227,从未跌破（观测期内）,2026-07-03,69.9,0.809,2.9619,0.941,0.8854,0.6688,0.0,0.6442
002971,和远气体,111.89,False,71.54,61.18,21,60.5,-2.75,30.6,16.93,0.8341,从未跌破（观测期内）,2026-07-03,63.44,0.3125,1.9577,1.0025,0.5875,0.8124,0.0,0.643
600458,时代新材,142.87,True,16.45,16.07,22,26.62,2.34,12.03,2.38,0.6594,从未跌破（观测期内）,2026-07-03,54.15,0.5387,1.801,0.7871,0.7232,0.9811,0.0,0.6408
600392,盛和资源,507.44,False,28.95,28.3,17,38.02,-5.43,10.84,2.29,0.5777,从未跌破（观测期内）,2026-07-03,57.46,0.8012,1.1773,0.8754,0.8807,0.9453,0.0,0.6403
002935,天奥电子,96.02,True,23.2,21.14,16,11.07,-9.68,2.7,9.72,0.565,从未跌破（观测期内）,2026-07-03,58.11,0.7967,1.4232,0.5668,0.878,0.9308,0.0553,0.64
002167,东方锆业,189.98,False,25.04,18.18,21,48.44,-2.16,21.47,37.76,0.8341,从未跌破（观测期内）,2026-07-03,77.74,0.7121,2.9654,1.0118,0.8272,0.4947,0.0,0.6394
603650,彤程新材,547.37,False,89.08,72.91,17,46.5,-7.64,16.91,22.17,0.7705,从未跌破（观测期内）,2026-07-03,74.08,0.7612,2.3637,0.9342,0.8567,0.576,0.0,0.6376
603065,宿迁联盛,78.77,False,18.8,15.84,22,68.7,4.34,40.41,18.66,0.85,从未跌破（观测期内）,2026-07-03,70.09,0.4305,5.8015,0.9539,0.6583,0.6646,0.0,0.6375
002736,国信证券,994.89,False,10.35,10.03,15,5.83,-3.87,1.29,3.2,0.4112,从未跌破（观测期内）,2026-07-03,57.71,0.8295,0.7268,0.366,0.8977,0.9399,0.3899,0.6354
600366,宁波韵升,184.97,False,16.83,14.36,18,17.59,-4.37,7.03,17.17,0.7122,从未跌破（观测期内）,2026-07-03,72.14,0.8389,3.585,0.7058,0.9034,0.6191,0.0,0.6345
600141,兴发集团,479.37,False,39.89,38.67,16,38.62,-14.21,13.06,3.15,0.5832,从未跌破（观测期内）,2026-07-03,59.51,0.8059,1.834,0.9838,0.8836,0.8997,0.0,0.6341
