code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date,rsi,volume_price_corr,volume_change_22d,volatility_20d,volume_price_score,rsi_score,volatility_score,composite_score,trend_score,trend_normalized,trend_phase,daily_trend_score,weekly_trend_score,monthly_trend_score
002422,科伦药业,639.18,True,49.22,44.36,21,26.76,-1.1,11.37,10.96,0.8341,2026-06-26,2026-07-22,58.18,0.8231,1.6415,0.8881,0.8939,0.9294,0.0,0.8043,0.8874,0.9437,多周期共振看多 ⬆⬆⬆,0.866,0.7131,0.495
000938,紫光股份,1284.17,True,44.9,33.98,19,32.15,-5.27,14.19,32.15,0.8023,2026-06-29,2026-07-22,74.64,0.916,2.6505,1.0217,0.9496,0.5637,0.0,0.7417,0.8125,0.9062,多周期共振看多 ⬆⬆⬆,0.74,0.589,0.5625
000977,浪潮信息,1327.04,True,90.47,76.9,22,30.83,0.63,12.02,17.64,0.85,2026-06-16,2026-07-22,75.89,0.8352,1.7676,0.8771,0.9011,0.5357,0.0,0.7309,0.7225,0.8613,多周期共振看多 ⬆⬆⬆,0.6935,0.4985,0.495
000739,普洛药业,241.32,True,20.84,18.44,21,18.47,-1.73,7.72,13.02,0.7789,2026-06-26,2026-07-22,71.71,0.8358,2.0071,0.5376,0.9015,0.6287,0.1041,0.7154,0.5735,0.7868,多周期共振看多 ⬆⬆⬆,0.7625,0.2243,0.3825
002821,凯莱英,520.84,True,164.28,164.24,22,36.13,0.02,16.72,0.02,0.6006,2026-06-17,2026-07-22,54.55,0.5635,0.8866,0.9805,0.7381,0.9901,0.0,0.7006,0.7944,0.8972,多周期共振看多 ⬆⬆⬆,0.538,0.7223,0.5625
002841,视源股份,249.62,True,47.88,43.33,17,42.05,-7.28,13.45,10.51,0.7705,2026-06-29,2026-07-22,73.86,0.8951,2.7465,0.7893,0.937,0.5809,0.0,0.6983,0.5408,0.7704,多周期共振看多 ⬆⬆⬆,0.5683,0.544,0.1575
002415,海康威视,3223.23,True,35.63,34.08,20,9.95,-1.76,4.04,4.54,0.5905,2026-07-17,2026-07-22,61.61,0.4664,0.3298,0.3489,0.6117,0.8531,0.4185,0.6904,0.7682,0.8841,多周期共振看多 ⬆⬆⬆,0.6263,0.5891,0.5625
002440,闰土股份,118.77,True,12.55,10.81,18,22.19,-7.99,6.87,16.1,0.7082,2026-07-13,2026-07-22,61.39,0.773,0.3712,0.8809,0.8122,0.858,0.0,0.6869,0.4664,0.7332,多周期共振看多 ⬆⬆⬆,0.6845,0.2134,0.225
002653,海思科,382.14,True,71.19,69.29,22,45.23,2.74,17.12,2.74,0.6684,2026-06-18,2026-07-22,39.96,0.7413,2.9652,0.9549,0.8448,0.6657,0.0,0.6787,0.6748,0.8374,多周期共振看多 ⬆⬆⬆,0.553,0.514,0.495
002396,星网锐捷,261.99,True,34.59,25.75,16,42.03,-10.96,16.8,34.33,0.7545,2026-06-30,2026-07-22,80.36,0.8649,6.4564,0.9281,0.9189,0.4365,0.0,0.674,0.5872,0.7936,多周期共振看多 ⬆⬆⬆,0.671,0.4005,0.315
002317,众生药业,211.73,True,27.8,27.53,20,27.45,-0.83,11.19,0.99,0.593,2026-07-21,2026-07-22,53.11,0.7177,0.032,0.9358,0.6434,0.958,0.0,0.6718,0.7717,0.8859,多周期共振看多 ⬆⬆⬆,0.5335,0.6762,0.5625
